zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
61517,40.826,-89.8543,Brimfield,IL,Illinois,TRUE,,3259,18.3,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61519,40.4601,-90.089,Bryant,IL,Illinois,TRUE,,233,75.8,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61520,40.5421,-90.0213,Canton,IL,Illinois,TRUE,,17839,44.8,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61523,40.9172,-89.5355,Chillicothe,IL,Illinois,TRUE,,11204,81,17143,Peoria,"{'17123':0.48,'17143':99.52}",FALSE,FALSE,America/Chicago
61524,40.4914,-90.0346,Dunfermline,IL,Illinois,TRUE,,262,424.8,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61525,40.8485,-89.669,Dunlap,IL,Illinois,TRUE,,9021,111.2,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61526,40.9299,-89.6244,Edelstein,IL,Illinois,TRUE,,1088,13.2,17143,Peoria,"{'17123':6.07,'17143':93.93}",FALSE,FALSE,America/Chicago
61528,40.779,-89.723,Edwards,IL,Illinois,TRUE,,2668,56.3,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61529,40.7815,-89.9421,Elmwood,IL,Illinois,TRUE,,2880,17.4,17143,Peoria,"{'17095':1.18,'17143':98.82}",FALSE,FALSE,America/Chicago
61530,40.714,-89.2604,Eureka,IL,Illinois,TRUE,,6713,41.6,17203,Woodford,"{'17179':0.13,'17203':99.87}",FALSE,FALSE,America/Chicago
61531,40.6831,-90.0351,Farmington,IL,Illinois,TRUE,,3379,23.2,17057,Fulton,"{'17057':95.86,'17095':1.24,'17143':2.9}",FALSE,FALSE,America/Chicago
61532,40.3395,-89.8188,Forest City,IL,Illinois,TRUE,,534,6.2,17125,Mason,{'17125':100},FALSE,FALSE,America/Chicago
61533,40.5865,-89.8393,Glasford,IL,Illinois,TRUE,,2427,22.9,17143,Peoria,"{'17057':9.48,'17143':90.52}",FALSE,FALSE,America/Chicago
61534,40.4145,-89.6661,Green Valley,IL,Illinois,TRUE,,1737,12.2,17179,Tazewell,{'17179':100},FALSE,FALSE,America/Chicago
61535,40.5831,-89.5234,Groveland,IL,Illinois,TRUE,,1629,72.4,17179,Tazewell,{'17179':100},FALSE,FALSE,America/Chicago
61536,40.6899,-89.787,Hanna City,IL,Illinois,TRUE,,2919,27.4,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61537,41.117,-89.4664,Henry,IL,Illinois,TRUE,,2974,19.4,17123,Marshall,"{'17011':1.01,'17123':98.99}",FALSE,FALSE,America/Chicago
61539,40.5552,-89.767,Kingston Mines,IL,Illinois,TRUE,,205,101.4,17143,Peoria,{'17143':100},FALSE,FALSE,America/Chicago
61540,41.0147,-89.3731,Lacon,IL,Illinois,TRUE,,2916,21.6,17123,Marshall,{'17123':100},FALSE,FALSE,America/Chicago
61541,40.9804,-89.2349,La Rose,IL,Illinois,TRUE,,136,319.9,17123,Marshall,{'17123':100},FALSE,FALSE,America/Chicago
61542,40.3863,-90.1346,Lewistown,IL,Illinois,TRUE,,3794,12.7,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
61543,40.4208,-89.9707,Liverpool,IL,Illinois,TRUE,,151,7.5,17057,Fulton,{'17057':100},FALSE,FALSE,America/Chicago
