zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
27355,35.7896,-79.5685,Staley,NC,North Carolina,TRUE,,2660,29.8,37151,Randolph,"{'37037':20.6,'37151':79.4}",FALSE,FALSE,America/New_York
27356,35.4392,-79.798,Star,NC,North Carolina,TRUE,,3205,22,37123,Montgomery,"{'37123':90.55,'37125':9.45}",FALSE,FALSE,America/New_York
27357,36.2682,-79.9771,Stokesdale,NC,North Carolina,TRUE,,7894,71.9,37157,Rockingham,"{'37081':44.27,'37157':55.64,'37169':0.09}",FALSE,FALSE,America/New_York
27358,36.2281,-79.8797,Summerfield,NC,North Carolina,TRUE,,14075,99.8,37081,Guilford,"{'37081':82.31,'37157':17.69}",FALSE,FALSE,America/New_York
27360,35.8577,-80.0998,Thomasville,NC,North Carolina,TRUE,,46084,201.9,37057,Davidson,"{'37057':92.32,'37151':7.68}",FALSE,FALSE,America/New_York
27370,35.8108,-79.9917,Trinity,NC,North Carolina,TRUE,,15052,96.2,37151,Randolph,{'37151':100},FALSE,FALSE,America/New_York
27371,35.4202,-79.9589,Troy,NC,North Carolina,TRUE,,8132,19.4,37123,Montgomery,"{'37123':97.43,'37151':2.57}",FALSE,FALSE,America/New_York
27376,35.2545,-79.5354,West End,NC,North Carolina,TRUE,,9386,52,37125,Moore,{'37125':100},FALSE,FALSE,America/New_York
27377,36.0382,-79.6026,Whitsett,NC,North Carolina,TRUE,,7104,107.5,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27379,36.3771,-79.3462,Yanceyville,NC,North Carolina,TRUE,,4661,21.1,37033,Caswell,{'37033':100},FALSE,FALSE,America/New_York
27401,36.0701,-79.7657,Greensboro,NC,North Carolina,TRUE,,21932,1362.7,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27403,36.0643,-79.8247,Greensboro,NC,North Carolina,TRUE,,21958,1406.7,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27405,36.1161,-79.7354,Greensboro,NC,North Carolina,TRUE,,44567,554.9,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27406,35.9991,-79.7657,Greensboro,NC,North Carolina,TRUE,,56458,313.9,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27407,36.0098,-79.8765,Greensboro,NC,North Carolina,TRUE,,46242,589.3,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27408,36.1031,-79.8141,Greensboro,NC,North Carolina,TRUE,,17296,875.2,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27409,36.0938,-79.9447,Greensboro,NC,North Carolina,TRUE,,15621,310,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27410,36.1178,-79.8943,Greensboro,NC,North Carolina,TRUE,,52388,618.7,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27455,36.1837,-79.8076,Greensboro,NC,North Carolina,TRUE,,28706,373.8,37081,Guilford,{'37081':100},FALSE,FALSE,America/New_York
27501,35.4858,-78.6849,Angier,NC,North Carolina,TRUE,,17571,110.9,37085,Harnett,"{'37085':69.36,'37101':29.24,'37183':1.4}",FALSE,FALSE,America/New_York
